Campaign,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Networks,Anúncios políticos da UE,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,Search,Paused,"13,00",Maximize clicks,Google search,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,lavagem de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de estofos,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,,,Responsive search ad,https://cleansolutions.com.pt/limpeza-sofas-porto?ads=1,limpeza-sofas,porto,Enabled,Limpeza de Sofás {LOCATION(City):Porto},Higienização de Sofás {LOCATION(City):Porto},+125 Avaliações de Clientes,"Avaliação Média de 4,9",+1100 Clientes Servidos,Resposta em 10 Minutos,Orçamento Grátis no WhatsApp,Preço Fechado Antes de Marcar,Garantia de Repetição,Limpeza de Sofás ao Domicílio,Secagem Média de 3 a 6 Horas,"Manchas, Pelos e Odores",Limpeza de Estofos {LOCATION(City):Porto},Equipa Própria no Norte,Limpe e Proteja no Mesmo Dia,Higienização profissional de sofás ao domicílio. Secagem média de 3 a 6 horas.,"Avaliação média de 4,9 em mais de 125 avaliações e mais de 1100 clientes servidos.","Preço fechado antes da marcação, sem surpresas. Orçamento grátis pelo WhatsApp.","Se não ficar satisfeito, avise em 48 horas e repetimos a limpeza sem custos."
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,Enabled,"1,50",,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de sofás porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilizar sofá porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de estofos porto,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,limpeza e impermeabilização de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de sofás preço,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,quanto custa impermeabilizar um sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,pack limpeza e impermeabilização sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilizar sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de estofos,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Porto | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,,,Responsive search ad,https://cleansolutions.com.pt/impermeabilizacao-porto?ads=1,protecao-sofas,porto,Enabled,Impermeabilização de Sofás,Impermeabilizar Sofá {LOCATION(City):Porto},"Vinho, Café e Sumo no Sofá",Derrames Ficam à Superfície,Impermeabilização de Estofos,Proteja Antes da Próxima Nódoa,Crianças e Animais em Casa?,Premium: Até 10 Anos,Resiste a Até 5 Lavagens,Impermeabilização Desde 59€,Limpeza + Proteção Desde 99€,"Avaliação Média de 4,9",+125 Avaliações de Clientes,Aplicação ao Domicílio,Orçamento Grátis no WhatsApp,"Com a proteção, vinho, café ou sumo ficam à superfície e limpam-se com mais facilidade.","Impermeabilização de sofás ao domicílio. Essencial desde 59€, Premium desde 89€.","A Premium protege até 10 anos e resiste a até 5 lavagens. A Essencial, 1 a 2 anos.","Limpeza e proteção na mesma visita, em pack desde 99€. Avaliação média de 4,9."
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,Search,Paused,"27,00",Maximize clicks,Google search,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,Enabled,"1,50",,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofá lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização de sofás lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,lavagem de sofás lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpar sofá lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de estofos lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás ao domicílio,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,empresa de limpeza de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,preço limpeza sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,quanto custa limpar um sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás preço,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização de estofos,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,higienização sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,lavagem de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,limpeza de estofos,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Limpeza de Sofás,,,,,Responsive search ad,https://cleansolutions.com.pt/limpeza-sofas-lisboa?ads=1,limpeza-sofas,lisboa,Enabled,Limpeza de Sofás {LOCATION(City):Lisboa},Higienização de Sofás {LOCATION(City):Lisboa},+125 Avaliações de Clientes,"Avaliação Média de 4,9",+1100 Clientes Servidos,Resposta em 10 Minutos,Orçamento Grátis no WhatsApp,Preço Fechado Antes de Marcar,Garantia de Repetição,Limpeza de Sofás ao Domicílio,Secagem Média de 3 a 6 Horas,"Manchas, Pelos e Odores",Limpeza de Estofos {LOCATION(City):Lisboa},Equipa Própria em Lisboa,Limpe e Proteja no Mesmo Dia,Higienização profissional de sofás ao domicílio. Secagem média de 3 a 6 horas.,"Avaliação média de 4,9 em mais de 125 avaliações e mais de 1100 clientes servidos.","Preço fechado antes da marcação, sem surpresas. Orçamento grátis pelo WhatsApp.","Se não ficar satisfeito, avise em 48 horas e repetimos a limpeza sem custos."
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,Enabled,"1,50",,,,,,,,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de sofás lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilizar sofá lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de estofos lisboa,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,limpeza e impermeabilização de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de sofás preço,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,quanto custa impermeabilizar um sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,pack limpeza e impermeabilização sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de sofás,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilizar sofá,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,impermeabilização de estofos,Expressão,,,,,Enabled,,,,,,,,,,,,,,,,,,,
Kyro | Lisboa | Limpeza e Proteção de Sofás | Set 2026,,,,,,,Impermeabilização de Sofás,,,,,Responsive search ad,https://cleansolutions.com.pt/impermeabilizacao-lisboa?ads=1,protecao-sofas,lisboa,Enabled,Impermeabilização de Sofás,Impermeabilizar Sofá {LOCATION(City):Lisboa},"Vinho, Café e Sumo no Sofá",Derrames Ficam à Superfície,Impermeabilização de Estofos,Proteja Antes da Próxima Nódoa,Crianças e Animais em Casa?,Premium: Até 10 Anos,Resiste a Até 5 Lavagens,Impermeabilização Desde 59€,Limpeza + Proteção Desde 99€,"Avaliação Média de 4,9",+125 Avaliações de Clientes,Aplicação ao Domicílio,Orçamento Grátis no WhatsApp,"Com a proteção, vinho, café ou sumo ficam à superfície e limpam-se com mais facilidade.","Impermeabilização de sofás ao domicílio. Essencial desde 59€, Premium desde 89€.","A Premium protege até 10 anos e resiste a até 5 lavagens. A Essencial, 1 a 2 anos.","Limpeza e proteção na mesma visita, em pack desde 99€. Avaliação média de 4,9."
